luxes, temp, hum, curr, volt, power, dd,hh,mm
39157.76,40,28,0.59,14.99,8.81,21,12,37
38584.32,40,28,0.58,14.99,8.76,21,12,32
38051.84,41,26,0.58,14.99,8.72,21,12,27
38830.08,42,25,0.59,14.99,8.83,21,12,22
38676.48,42,25,0.59,14.99,8.83,21,12,17
37478.4,40,28,0.59,14.99,8.83,21,12,12
35584,42,25,0.59,14.99,8.79,21,12,7
34334.72,39,28,0.59,15,8.88,21,12,2
34467.84,37,30,0.59,14.99,8.82,21,11,57
36126.72,40,27,0.58,14.98,8.74,21,11,52
36823.04,37,31,0.58,14.98,8.74,21,11,47
33976.32,36,32,0.59,14.99,8.81,21,11,42
33976.32,39,28,0.58,14.99,8.68,21,11,37
32890.88,36,31,0.57,14.97,8.51,21,11,32
33812.48,35,31,0.57,14.98,8.61,21,11,27
32634.88,35,32,0.57,14.98,8.59,21,11,22
30955.52,36,30,0.57,14.98,8.58,21,11,17
29276.16,33,35,0.57,14.98,8.49,21,11,12
27832.32,34,32,0.56,14.97,8.37,21,11,7
27535.36,32,35,0.56,14.97,8.38,21,11,2
27852.8,35,30,0.55,14.97,8.15,21,10,57
28436.48,36,30,0.54,14.96,8.08,21,10,52
28907.52,34,33,0.53,14.96,7.92,21,10,47
29071.36,33,35,0.53,14.95,7.96,21,10,42
27351.04,32,34,0.53,14.95,7.88,21,10,37
26357.76,30,37,0.53,14.95,7.96,21,10,32
22405.12,26,43,0.47,14.92,7.09,21,10,27
19169.28,27,42,0.4,14.88,6,21,10,22
12072.96,30,37,0.26,14.79,3.9,21,10,17
16122.88,34,32,0.33,14.84,4.89,21,10,12
21155.84,32,35,0.44,14.9,6.52,21,10,7
26593.28,31,36,0.53,14.95,7.92,21,10,2
23644.16,30,38,0.49,14.93,7.35,21,9,57
21442.56,30,39,0.46,14.91,6.91,21,9,52
20848.64,28,40,0.45,14.91,6.69,21,9,47
20065.28,27,43,0.44,14.89,6.52,21,9,42
17940.48,26,43,0.42,14.88,6.28,21,9,37
15349.76,26,45,0.42,14.89,6.2,21,9,32
13706.24,23,49,0.41,14.88,6.03,21,9,27
13649.92,22,51,0.37,14.86,5.47,21,9,22
16220.16,21,52,0.39,14.87,5.79,21,9,17
14520.32,23,50,0.36,14.85,5.32,21,9,12
14351.36,22,52,0.36,14.85,5.31,21,9,7
12912.64,21,56,0.34,14.84,5.08,21,9,2
