luxes, temp, hum, power
21913.6,27,40,6.98
21770.24,28,38,6.82
19302.4,27,41,6.66
17008.64,27,39,6.48
15462.4,25,43,6.31
16097.28,24,44,6.12
17044.48,24,44,5.96
15805.44,23,48,5.72
14095.36,23,49,5.48
12733.44,22,53,5.2
11642.88,21,54,4.93
11663.36,20,56,4.61
11822.08,20,57,4.3
10982.4,18,61,3.96
10227.2,18,63,3.61
9408,16,66,3.26
7649.28,16,69,2.96
7367.68,15,72,2.64
6379.52,15,74,2.34
5242.88,13,79,2.05
5724.16,12,84,1.78
5248,11,90,1.52
4597.76,9,100,1.32
5685.76,23,50,1.29
5949.44,24,50,1.64
6333.44,24,49,2.02
7631.36,24,49,2.42
8832,25,47,2.71
10073.6,25,45,3
11115.52,26,44,3.29
11540.48,26,43,3.57
11709.44,27,42,3.81
12006.4,28,40,4.1
12641.28,29,37,4.31
13317.12,31,35,4.51
13783.04,32,35,4.71
14684.16,32,33,5.03
15354.88,32,32,5.4
18099.2,32,28,5.99
19061.76,30,30,6.27
14520.32,28,33,4.67
6428.16,30,33,2.01
19640.32,33,30,5.9
21841.92,34,30,6.52
20966.4,35,30,6.62
21237.76,34,28,6.77
22026.24,34,29,6.92
24238.08,35,28,6.98
25896.96,38,24,7.07
25425.92,37,25,7.28
24289.28,39,24,7.4
24422.4,39,24,7.45
23674.88,36,26,7.72
23531.52,35,28,7.99
26152.96,37,26,8.4
26542.08,38,25,8.26
23828.48,36,27,7.49
27996.16,36,26,8.38
31191.04,41,18,8.69
29972.48,39,21,8.56
27340.8,36,25,7.8
33198.08,39,21,8.69
28774.4,40,21,7.77
33013.76,41,20,8.68
34068.48,39,22,8.85
36546.56,41,19,9.42
38502.4,40,21,9.57
39403.52,39,22,9.24
31795.2,39,21,8.1
25794.56,41,21,6.73
32348.16,43,19,7.6
28805.12,45,17,6.59
42762.24,45,18,9.27
41553.92,41,22,9.15
44236.8,41,21,9.54
43253.76,41,23,9.24
42741.76,40,26,9.28
39587.84,38,29,8.83
37867.52,39,28,8.58
44933.12,42,27,9.61
36157.44,36,32,8
41830.4,39,31,9.15
39751.68,44,25,8.72
39884.8,41,27,8.97
41666.56,42,27,9.4
39331.84,40,30,9.47
40683.52,39,30,10.15
23173.12,36,34,6.52
21217.28,37,32,5.85
33689.6,37,33,8.55
42721.28,35,35,10.11
31887.36,34,36,8.31
40335.36,37,33,10.07
32983.04,36,34,8.56
22743.04,33,37,6.27
28651.52,37,34,8.03
29818.88,33,37,8.9
28282.88,33,38,8.86
27228.16,31,41,8.82
26245.12,28,45,8.09
25958.4,34,38,7.58
31221.76,33,39,8.78
29972.48,28,46,8.59
27310.08,29,45,8.19
18728.96,25,54,6.12
23941.12,26,51,7.88
21207.04,27,48,6.82
18344.96,26,51,5.8
11335.68,26,52,3.74
25190.4,28,47,8.08
19742.72,23,57,6.72
22394.88,24,54,7.41
17044.48,24,54,5.7
15585.28,22,58,5.2
24545.28,24,53,7.62
19783.68,24,53,6.72
16588.8,23,57,6.13
11535.36,20,63,4.44
11980.8,21,62,4.43
16209.92,18,70,5.81
8727.04,17,73,3.16
9597.44,17,73,3.67
12078.08,16,76,4.86
5890.56,15,80,2.18
8650.24,15,81,3.33
8716.8,16,78,3.25
11566.08,16,79,4.36
9866.24,13,94,3.71
7623.68,12,99,2.88
6164.48,10,100,2.38
4820.48,9,99,1.82
4149.76,8,100,1.6
3584,8,99,1.4
2913.28,8,100,1.22
2501.12,8,99,1.18
2517.76,8,100,1.19
2316.8,7,99,1.09
2310.4,7,100,1.09
2243.84,7,99,1.02
5368.32,23,59,1.01
5867.52,23,58,1.32
6195.2,24,56,1.69
6707.2,24,54,2.09
8409.6,25,53,2.46
9356.8,25,52,2.8
10521.6,26,49,3.12
11566.08,28,45,3.42
12288,28,44,3.74
12416,28,42,4.02
13255.68,31,34,4.26
14197.76,32,25,4.61
14679.04,30,29,4.92
12103.68,29,30,4.2
13173.76,30,29,4.48
16486.4,33,25,5.67
13117.44,34,23,4.44
17213.44,35,23,5.61
19512.32,35,22,5.89
21575.68,34,23,6.22
21852.16,34,23,6.39
22538.24,35,23,6.54
21575.68,35,23,6.69
22241.28,35,23,6.82
24207.36,34,23,7.03
26193.92,35,22,7.14
27064.32,34,25,7.33
25446.4,35,23,7.36
24688.64,36,26,7.51
25139.2,35,23,7.65
24504.32,37,21,7.72
23715.84,36,22,7.85
24545.28,34,27,8
26163.2,36,22,8.1
26808.32,37,22,8.23
28170.24,38,21,8.37
29818.88,38,22,8.44
30812.16,39,21,8.46
31621.12,38,22,8.59
32993.28,38,21,8.61
32901.12,38,21,8.77
33095.68,39,21,8.85
33290.24,39,19,8.87
35880.96,37,21,8.95
35880.96,37,23,9.06
37939.2,34,29,9.18
39680,37,23,9.04
41195.52,42,20,8.93
41646.08,42,21,9
41881.6,39,22,9.04
41635.84,39,23,9.09
41646.08,39,23,9.2
42106.88,37,25,9.28
42004.48,35,27,9.2
42496,36,26,9.36
41809.92,37,24,9.23
42803.2,40,22,9.2
42168.32,40,22,9.2
43274.24,41,21,9.29
42926.08,39,21,9.42
42373.12,40,21,9.32
41594.88,39,21,9.33
40970.24,40,21,9.27
39495.68,39,23,9.2
38932.48,39,25,9.06
37754.88,39,24,9.01
37836.8,37,24,9.06
36966.4,36,25,9.11
36966.4,37,26,9.11
36075.52,35,28,9.09
36761.6,35,29,9.09
37529.6,38,26,8.97
36003.84,37,27,8.96
33904.64,37,28,8.88
31221.76,34,31,8.81
28508.16,36,29,8.74
27996.16,36,29,8.7
29214.72,34,32,8.69
29992.96,33,33,8.63
30812.16,34,32,8.47
30044.16,34,32,8.38
28313.6,33,33,8.31
26009.6,33,33,8.09
25067.52,32,33,8.09
26275.84,33,35,8
26839.04,32,35,7.8
26562.56,32,35,7.67
24832,32,35,7.65
23285.76,32,39,7.5
22384.64,30,41,7.33
22282.24,30,43,7.16
22415.36,29,44,7
22200.32,28,46,6.9
20142.08,28,46,6.75
18037.76,28,47,6.55
16071.68,26,50,6.41
16711.68,26,51,6.23
16675.84,24,54,6.04
15836.16,23,57,5.84
13926.4,22,59,5.59
12492.8,21,61,5.32
11811.84,21,61,5.04
11985.92,21,62,4.75
12021.76,20,65,4.43
11089.92,19,67,4.08
10247.68,18,72,3.75
9259.52,17,74,3.34
7854.08,17,77,3.02
7930.88,16,82,2.79
6507.52,15,86,2.48
5432.32,14,95,2.21
5424.64,12,100,1.8
4769.28,11,99,1.51
4718.08,10,100,1.42
5194.24,20,68,1.01
5562.88,21,66,1.31
5957.12,21,65,1.69
6679.04,21,64,2.1
8281.6,20,66,2.43
8714.24,20,66,2.68
9331.2,23,56,3.01
13066.24,25,51,4.22
13885.44,24,53,4.56
15375.36,26,49,5.25
17044.48,29,44,5.64
16245.76,28,44,5.61
17305.6,28,45,5.91
18442.24,27,46,6.11
20295.68,29,43,6.25
